#
# ABINIT package : DOS file
#
# nsppol = 1, nkpt = 1012, nband(1)=   7
# Smearing technique, occopt = 3, tsmear= 0.001 Hartree, tphysel= 0.000 Hartree
# For identification : eigen(1:3)=  -0.632  -0.443  -0.442
#
# Fermi energy :      -0.26524251
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell),
# as well as the DOS with tsmear halved and doubled, are computed,
# at  1101 energies (in Hartree) covering the interval
# between   -0.7000 and    0.4000 Hartree by steps of 0.00100 Hartree.
#
#    #   energy        DOS       Integr. DOS        DOS           DOS
#                                               (tsmear/2)    (tsmear*2)
  414  -0.286      6.423589     10.851210         4.404         7.421
  415  -0.285      6.082060     10.857385         5.617         7.206
  416  -0.284      6.347664     10.863571         6.123         7.135
  417  -0.283      6.876710     10.870166         6.525         7.191
  418  -0.282      7.466978     10.877349         8.083         7.314
  419  -0.281      7.731799     10.884988         8.495         7.452
  420  -0.280      7.561903     10.892661         7.634         7.582
  421  -0.279      7.415398     10.900118         6.403         7.708
  422  -0.278      7.828774     10.907687         7.025         7.829
  423  -0.277      8.635656     10.915916         9.232         7.907
  424  -0.276      8.981751     10.924802        10.944         7.882
  425  -0.275      8.345518     10.933532         8.530         7.730
  426  -0.274      7.491168     10.941423         6.266         7.482
  427  -0.273      7.002921     10.948653         7.558         7.204
  428  -0.272      6.491147     10.955412         6.613         6.961
  429  -0.271      6.030550     10.961647         4.990         6.801
  430  -0.270      6.054581     10.967643         5.622         6.753
  431  -0.269      6.484140     10.973894         6.301         6.809
  432  -0.268      6.908250     10.980611         7.844         6.938
  433  -0.267      6.996680     10.987588         6.872         7.112
  434  -0.266      7.044764     10.994592         6.665         7.318
  435  -0.265      7.375419     11.001775         6.877         7.548
  436  -0.264      8.039301     11.009458         7.642         7.775
  437  -0.263      8.690379     11.017856        10.183         7.953
  438  -0.262      8.693756     11.026608         9.197         8.042
  439  -0.261      8.279210     11.035101         7.892         8.040
  440  -0.260      8.000577     11.043219         7.653         7.973
  441  -0.259      7.946484     11.051178         7.821         7.861
  442  -0.258      8.114876     11.059186         7.420         7.698
  443  -0.257      8.327121     11.067434         9.720         7.456
  444  -0.256      7.744131     11.075565         9.606         7.130
  445  -0.255      6.241469     11.082598         5.740         6.779
  446  -0.254      4.931342     11.088117         3.195         6.528
  447  -0.253      4.712850     11.092837         3.164         6.488
  448  -0.252      5.533797     11.097895         5.137         6.690
  449  -0.251      6.863222     11.104072         6.713         7.065
  450  -0.250      8.216654     11.111630         8.821         7.483
  451  -0.249      9.110960     11.120352        10.273         7.814
  452  -0.248      9.102178     11.129546        10.875         7.982
  453  -0.247      8.349481     11.138293         7.285         7.990
  454  -0.246      7.903898     11.146359         6.720         7.886
  455  -0.245      8.119454     11.154334         8.096         7.704
  456  -0.244      8.232814     11.162566        10.151         7.446
  457  -0.243      7.408028     11.170468         8.215         7.124
  458  -0.242      6.082530     11.177210         5.116         6.806
  459  -0.241      5.188044     11.182786         4.231         6.600
  460  -0.240      5.111000     11.187861         3.833         6.591
  461  -0.239      5.849590     11.193284         5.312         6.788
  462  -0.238      7.111935     11.199737         6.769         7.121
  463  -0.237      8.313472     11.207494         9.922         7.476
  464  -0.236      8.662043     11.216067        10.016         7.759
  465  -0.235      8.209163     11.224539         8.000         7.939
